Proposal Name,Name,Unit Type,No of Desks,Centre: Name,Contract Number,Status,Account Name,Account Owner,Centre,Duplicate Check
BLR/IN/00401/1,Community Lounge,Lounge,1,CoWrks New Indiranagar,395,Activated,Stylumia Intelligence Technology Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
BLR/IN/00412/1,Community Lounge,Lounge,1,CoWrks New Indiranagar,398,Month on Month,Rahul Nene,Auguste Pocuinaite,CoWrks New Indiranagar,
NCR/PT/01872/1,NCR/PT/PS/02/056,Private Studio,8,CoWrks Golf Course Road,1513,Activated,Spica Zavas Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/01872/1,NCR/PT/PS/02/058,Private Studio,8,CoWrks Golf Course Road,1513,Activated,Spica Zavas Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/01872/1,NCR/PT/CP/00/009,Car Parking,8,CoWrks Golf Course Road,1513,Activated,Spica Zavas Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/01872/1,NCR/PT/CP/00/010,Car Parking,8,CoWrks Golf Course Road,1513,Activated,Spica Zavas Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/01880/1,NCR/PT/DD/01/012,Dedicated Desk,1,CoWrks Golf Course Road,1522,Activated,80 dB Communications Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/01903/1,NCR/PT/DD/01/021,Dedicated Desk,1,CoWrks Golf Course Road,1539,Activated,RevX Technology Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/01904/2,NCR/PT/PS/01/026,Private Studio,3,CoWrks Golf Course Road,1565,Activated,Addedsport India Pvt. Ltd.,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/01905/1,NCR/PT/PS/00/006,Private Studio,4,CoWrks Golf Course Road,1552,Activated,Big Spring Services Private Limited.,Raghu Ram,CoWrks Golf Course Road,
NCR/PT/01896/1,NCR/PT/PS/02/053,Private Studio,3,CoWrks Golf Course Road,1572,Activated,Shearwater Ventures Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/01939/1,NCR/PT/PS/02/051,Private Studio,4,CoWrks Golf Course Road,1577,Activated,Floraison India Strategic Consulting Pvt Ltd,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/01976/1,NCR/PT/DD/02/055,Dedicated Desk,3,CoWrks Golf Course Road,1604,Activated,Naina Doddamani(Vanity Wagon),Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/01976/1,NCR/PT/DD/02/057,Dedicated Desk,3,CoWrks Golf Course Road,1604,Activated,Naina Doddamani(Vanity Wagon),Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/01976/1,NCR/PT/DD/02/058,Dedicated Desk,3,CoWrks Golf Course Road,1604,Activated,Naina Doddamani(Vanity Wagon),Khushboo Parakh,CoWrks Golf Course Road,
BLR/IN/00456/1,Community Lounge,Lounge,3,CoWrks New Indiranagar,468,Activated,Stylumia Intelligence Technology Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar,
NCR/PT/01977/1,NCR/PT/FD/00/019,Flexible Desk,3,CoWrks Golf Course Road,1614,Activated,Exicon Holding Private Limited,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02086/4,Telephony,Telephony,0,CoWrks Golf Course Road,1738,Month on Month,YMetis India Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/01977/1,NCR/PT/PSDD/00/069,Dedicated Desk,3,CoWrks Golf Course Road,1614,Activated,Exicon Holding Private Limited,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02593/1,NCR/PT/DD/01/025,Dedicated Desk,1,CoWrks Golf Course Road,2127,Activated,N Omkar Varma,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02717/1,NCR/PT/PS/01/022,Private Studio,2,CoWrks Golf Course Road,2188,Activated,Tradewind International Servicing,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02757/1,NCR/PT/DD/02/044,Dedicated Desk,4,CoWrks Golf Course Road,2211,Activated,U DIGITAL CONTENT PRIVATE LIMITED,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02757/1,NCR/PT/DD/02/045,Dedicated Desk,4,CoWrks Golf Course Road,2211,Activated,U DIGITAL CONTENT PRIVATE LIMITED,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02757/1,NCR/PT/DD/02/046,Dedicated Desk,4,CoWrks Golf Course Road,2211,Activated,U DIGITAL CONTENT PRIVATE LIMITED,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02757/1,NCR/PT/DD/02/047,Dedicated Desk,4,CoWrks Golf Course Road,2211,Activated,U DIGITAL CONTENT PRIVATE LIMITED,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02763/1,NCR/PT/DD/02/059,Dedicated Desk,1,CoWrks Golf Course Road,2221,Activated,Nikhil Jain,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02759/1,NCR/PT/DD/02/043,Dedicated Desk,1,CoWrks Golf Course Road,2212,Activated,OFFBEET ADVISORY LLP,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02787/1,NCR/PT/CP/00/041,Car Parking,0,CoWrks Golf Course Road,2238,Activated,Accord Group India Private Limited,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02778/1,NCR/PT/CP/00/039,Car Parking,0,CoWrks Golf Course Road,2237,Month on Month,Great Lakes Institute of Management,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02778/1,NCR/PT/CP/00/040,Car Parking,0,CoWrks Golf Course Road,2237,Month on Month,Great Lakes Institute of Management,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02811/1,Telephony,Telephony,0,CoWrks Golf Course Road,2265,Activated,Accord Group India Private Limited,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02878/1,Telephony,Telephony,0,CoWrks Golf Course Road,2344,Activated,Alight HR Services India Private Limited,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02674/2,NCR/PT/FD/00/018,Flexible Desk,3,CoWrks Golf Course Road,2339,Activated,Neuriot Technologies LLP,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02674/2,NCR/PT/DD/01/016,Dedicated Desk,3,CoWrks Golf Course Road,2339,Activated,Neuriot Technologies LLP,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02674/2,NCR/PT/DD/01/019,Dedicated Desk,3,CoWrks Golf Course Road,2339,Activated,Neuriot Technologies LLP,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/01433/1,NCR/PT/PS/01/024,Private Studio,4,CoWrks Golf Course Road,1098,Activated,Addedsport India Pvt. Ltd.,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02622/1,NCR/PT/CP/00/001,Car Parking,4,CoWrks Golf Course Road,2146,Activated,Accord Group India Private Limited,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/03048/1,NCR/PT/DD/01/002,Dedicated Desk,1,CoWrks Golf Course Road,2437,Activated,80 dB Communications Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/01464/1,NCR/PT/DD/01/022,Dedicated Desk,1,CoWrks Golf Course Road,2439,Activated,Unbound,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02776/1,NCR/PT/DD/01/032,Dedicated Desk,1,CoWrks Golf Course Road,2230,Activated,Charu Chhabra,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02646/1,NCR/PT/PSDD/00/067,Dedicated Desk,1,CoWrks Golf Course Road,2148,Activated,NANARC TECHNOLOGIES PRIVATE LIMITED,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/03007/1,Telephony,Telephony,0,CoWrks Golf Course Road,2414,Month on Month,TIA Consulting LLP,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02765/1,NCR/PT/DD/02/048,Dedicated Desk,2,CoWrks Golf Course Road,2229,Activated,Nikhil Jain,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02765/1,NCR/PT/DD/02/049,Dedicated Desk,2,CoWrks Golf Course Road,2229,Activated,Nikhil Jain,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02111/1,NCR/PT/CP/00/020,Car Parking,0,CoWrks Golf Course Road,1744,Activated,ARCTERN HEALTHCARE PRIVATE LIMITED,Dhruv Agarwal,CoWrks Golf Course Road,
BLR/EW/01681/1,BLR/EW/DD/00/008,Dedicated Desk,2,RMZ EcoWorld,1326,Activated,Basant Sahoo,Rumpa Das,RMZ EcoWorld,2
NCR/PT/02968/1,NCR/PT/RU/00/001,IT Rack Unit,3,CoWrks Golf Course Road,2402,Activated,DUNNHUMBY IT SERVICES INDIA PRIVATE LIMITED,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02559/1,NCR/PT/DD/02/035,Dedicated Desk,1,CoWrks Golf Course Road,2102,Activated,Naina Doddamani(Vanity Wagon),Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02562/1,NCR/PT/DD/01/007,Dedicated Desk,9,CoWrks Golf Course Road,2104,Activated,80 dB Communications Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02562/1,NCR/PT/DD/01/008,Dedicated Desk,9,CoWrks Golf Course Road,2104,Activated,80 dB Communications Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02562/1,NCR/PT/DD/01/009,Dedicated Desk,9,CoWrks Golf Course Road,2104,Activated,80 dB Communications Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02562/1,NCR/PT/DD/01/010,Dedicated Desk,9,CoWrks Golf Course Road,2104,Activated,80 dB Communications Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02562/1,NCR/PT/DD/01/011,Dedicated Desk,9,CoWrks Golf Course Road,2104,Activated,80 dB Communications Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02565/1,NCR/PT/PSDD/00/065,Dedicated Desk,3,CoWrks Golf Course Road,2208,Activated,Incture Technologies,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02565/1,NCR/PT/PSDD/00/066,Dedicated Desk,3,CoWrks Golf Course Road,2208,Activated,Incture Technologies,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02565/1,NCR/PT/PSDD/00/070,Dedicated Desk,3,CoWrks Golf Course Road,2208,Activated,Incture Technologies,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02562/1,NCR/PT/DD/01/003,Dedicated Desk,9,CoWrks Golf Course Road,2104,Activated,80 dB Communications Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02562/1,NCR/PT/DD/01/004,Dedicated Desk,9,CoWrks Golf Course Road,2104,Activated,80 dB Communications Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02562/1,NCR/PT/DD/01/005,Dedicated Desk,9,CoWrks Golf Course Road,2104,Activated,80 dB Communications Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02562/1,NCR/PT/DD/01/006,Dedicated Desk,9,CoWrks Golf Course Road,2104,Activated,80 dB Communications Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02958/1,NCR/PT/PS/01/032,Private Studio,107,CoWrks Golf Course Road,2401,Activated,Blue Whale Advisory Services Pvt. Ltd.,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02958/1,NCR/PT/PS/01/036,Private Studio,107,CoWrks Golf Course Road,2401,Activated,Blue Whale Advisory Services Pvt. Ltd.,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02958/1,NCR/PT/PS/01/037,Private Studio,107,CoWrks Golf Course Road,2401,Activated,Blue Whale Advisory Services Pvt. Ltd.,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02958/1,NCR/PT/PS/01/038,Private Studio,107,CoWrks Golf Course Road,2401,Activated,Blue Whale Advisory Services Pvt. Ltd.,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02958/1,NCR/PT/PS/01/039,Private Studio,107,CoWrks Golf Course Road,2401,Activated,Blue Whale Advisory Services Pvt. Ltd.,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02958/1,NCR/PT/PS/02/041,Private Studio,107,CoWrks Golf Course Road,2401,Activated,Blue Whale Advisory Services Pvt. Ltd.,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02958/1,NCR/PT/PS/02/042,Private Studio,107,CoWrks Golf Course Road,2401,Activated,Blue Whale Advisory Services Pvt. Ltd.,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02958/1,NCR/PT/PS/02/044,Private Studio,107,CoWrks Golf Course Road,2401,Activated,Blue Whale Advisory Services Pvt. Ltd.,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02958/1,NCR/PT/PS/02/045,Private Studio,107,CoWrks Golf Course Road,2401,Activated,Blue Whale Advisory Services Pvt. Ltd.,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/01976/1,NCR/PT/CP/00/011,Car Parking,3,CoWrks Golf Course Road,1604,Activated,Naina Doddamani(Vanity Wagon),Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02809/1,NCR/PT/CP/00/012,Car Parking,0,CoWrks Golf Course Road,2266,Month on Month,80 dB Communications Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02551/1,NCR/PT/FD/00/017,Flexible Desk,9,CoWrks Golf Course Road,2103,Activated,Maxim Label & Packaging (India) Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02551/1,NCR/PT/FD/00/032,Flexible Desk,9,CoWrks Golf Course Road,2103,Activated,Maxim Label & Packaging (India) Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02551/1,NCR/PT/FD/00/034,Flexible Desk,9,CoWrks Golf Course Road,2103,Activated,Maxim Label & Packaging (India) Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02551/1,NCR/PT/FD/00/035,Flexible Desk,9,CoWrks Golf Course Road,2103,Activated,Maxim Label & Packaging (India) Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02551/1,NCR/PT/FD/00/036,Flexible Desk,9,CoWrks Golf Course Road,2103,Activated,Maxim Label & Packaging (India) Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02551/1,NCR/PT/PS/00/005,Private Studio,9,CoWrks Golf Course Road,2103,Activated,Maxim Label & Packaging (India) Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02005/1,NCR/PT/DD/02/053,Dedicated Desk,2,CoWrks Golf Course Road,1635,Activated,Neara Madhya Energy Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02005/1,NCR/PT/DD/02/054,Dedicated Desk,2,CoWrks Golf Course Road,1635,Activated,Neara Madhya Energy Private Limited,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02012/1,NCR/PT/DD/02/056,Dedicated Desk,1,CoWrks Golf Course Road,1650,Formal Notice Given,Ravi Shrivastava,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02052/1,NCR/PT/PS/01/021,Private Studio,10,CoWrks Golf Course Road,1685,Activated,TIA Consulting LLP,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02052/1,NCR/PT/CP/00/018,Car Parking,10,CoWrks Golf Course Road,1685,Activated,TIA Consulting LLP,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02052/1,NCR/PT/CP/00/019,Car Parking,10,CoWrks Golf Course Road,1685,Activated,TIA Consulting LLP,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02057/1,NCR/PT/PS/02/055,Private Studio,61,CoWrks Golf Course Road,1701,Activated,Alight HR Services India Private Limited,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02057/1,NCR/PT/PS/02/061,Private Studio,61,CoWrks Golf Course Road,1701,Activated,Alight HR Services India Private Limited,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02057/1,NCR/PT/PS/02/062,Private Studio,61,CoWrks Golf Course Road,1701,Activated,Alight HR Services India Private Limited,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02057/1,NCR/PT/PS/02/063,Private Studio,61,CoWrks Golf Course Road,1701,Activated,Alight HR Services India Private Limited,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02057/1,NCR/PT/PS/02/064,Private Studio,61,CoWrks Golf Course Road,1701,Activated,Alight HR Services India Private Limited,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02057/1,NCR/PT/PS/02/065,Private Studio,61,CoWrks Golf Course Road,1701,Activated,Alight HR Services India Private Limited,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02059/1,NCR/PT/DD/02/060,Dedicated Desk,1,CoWrks Golf Course Road,1689,Activated,Rajesh Bhatia,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02814/1,NCR/PT/CP/00/013,Car Parking,0,CoWrks Golf Course Road,2268,Month on Month,Akana Technologies Pvt. Ltd.,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02057/1,NCR/PT/CP/00/021,Car Parking,61,CoWrks Golf Course Road,1701,Activated,Alight HR Services India Private Limited,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02057/1,NCR/PT/CP/00/022,Car Parking,61,CoWrks Golf Course Road,1701,Activated,Alight HR Services India Private Limited,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02057/1,NCR/PT/CP/00/023,Car Parking,61,CoWrks Golf Course Road,1701,Activated,Alight HR Services India Private Limited,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02071/1,NCR/PT/PSDD/00/071,Dedicated Desk,1,CoWrks Golf Course Road,1703,Activated,Neuriot Technologies LLP,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02073/1,NCR/PT/DD/02/052,Dedicated Desk,1,CoWrks Golf Course Road,1709,Activated,Naresh Jain,Dhruv Agarwal,CoWrks Golf Course Road,
BLR/EW/00437/1,BLR/EW/DD/00/008,Dedicated Desk,2,RMZ EcoWorld,527,Activated,Mr. Raghunandan Gangappa,Rumpa Das,RMZ EcoWorld,2
NCR/PT/02269/1,NCR/PT/PS/01/025,Private Studio,9,CoWrks Golf Course Road,1871,Activated,Siya Seth,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02958/1,NCR/PT/PS/01/027,Private Studio,107,CoWrks Golf Course Road,2401,Activated,Blue Whale Advisory Services Pvt. Ltd.,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02214/1,NCR/PT/PSDD/00/063,Dedicated Desk,1,CoWrks Golf Course Road,1831,Activated,Manish Verma,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/02223/1,NCR/PT/PS/02/052,Private Studio,9,CoWrks Golf Course Road,1838,Activated,Leverton Software India Private Limited,Khushboo Parakh,CoWrks Golf Course Road,
NCR/PT/01659/3,NCR/PT/CP/00/002,Car Parking,0,CoWrks Golf Course Road,1377,Activated,Razorpay Software  Private Limited,Arjun Sharma,CoWrks Golf Course Road,
NCR/PT/01659/3,NCR/PT/CP/00/003,Car Parking,0,CoWrks Golf Course Road,1377,Activated,Razorpay Software  Private Limited,Arjun Sharma,CoWrks Golf Course Road,
NCR/PT/01659/3,NCR/PT/CP/00/004,Car Parking,0,CoWrks Golf Course Road,1377,Activated,Razorpay Software  Private Limited,Arjun Sharma,CoWrks Golf Course Road,
NCR/PT/01659/3,NCR/PT/CP/00/005,Car Parking,0,CoWrks Golf Course Road,1377,Activated,Razorpay Software  Private Limited,Arjun Sharma,CoWrks Golf Course Road,
NCR/PT/01659/3,NCR/PT/CP/00/006,Car Parking,0,CoWrks Golf Course Road,1377,Activated,Razorpay Software  Private Limited,Arjun Sharma,CoWrks Golf Course Road,
NCR/PT/02212/1,NCR/PT/DD/02/061,Dedicated Desk,2,CoWrks Golf Course Road,1820,Activated,Escape Velocity Digital Pvt Ltd,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02212/1,NCR/PT/DD/02/062,Dedicated Desk,2,CoWrks Golf Course Road,1820,Activated,Escape Velocity Digital Pvt Ltd,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02236/1,NCR/PT/PSDD/00/064,Dedicated Desk,1,CoWrks Golf Course Road,1846,Activated,SKP Business Consulting LLP,Dhruv Agarwal,CoWrks Golf Course Road,
NCR/PT/02272/1,NCR/PT/PS/01/020,Private Studio,14,CoWrks Golf Course Road,1901,Activated,Great Lakes Institute of Management,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02272/1,NCR/PT/PS/01/031,Private Studio,14,CoWrks Golf Course Road,1901,Activated,Great Lakes Institute of Management,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02356/1,NCR/PT/PSDD/00/072,Dedicated Desk,1,CoWrks Golf Course Road,1929,Activated,NANARC TECHNOLOGIES PRIVATE LIMITED,Dhruv Agarwal,CoWrks Golf Course Road,
BLR/EW/01963/1,BLR/EW/DD/00/009,Dedicated Desk,1,RMZ EcoWorld,1592,Activated,Basant Sahoo,Rumpa Das,RMZ EcoWorld,2
NCR/PT/02261/2,NCR/PT/FD/00/001,Flexible Desk,70,CoWrks Golf Course Road,1966,Formal Notice Given,APPSTER LLP,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02261/2,NCR/PT/FD/00/002,Flexible Desk,70,CoWrks Golf Course Road,1966,Formal Notice Given,APPSTER LLP,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02261/2,NCR/PT/FD/00/003,Flexible Desk,70,CoWrks Golf Course Road,1966,Formal Notice Given,APPSTER LLP,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02261/2,NCR/PT/FD/00/004,Flexible Desk,70,CoWrks Golf Course Road,1966,Formal Notice Given,APPSTER LLP,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02261/2,NCR/PT/FD/00/005,Flexible Desk,70,CoWrks Golf Course Road,1966,Formal Notice Given,APPSTER LLP,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02261/2,NCR/PT/FD/00/006,Flexible Desk,70,CoWrks Golf Course Road,1966,Formal Notice Given,APPSTER LLP,Arjun Gulati,CoWrks Golf Course Road,
NCR/PT/02261/2,NCR/PT/FD/00/007,Flexible Desk,70,CoWrks Golf Course Road,1966,Formal Notice Given,APPSTER LLP,Arjun Gulati,CoWrks Golf Course Road,
